player_name,team_name,position,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totwAppearances,touches,wasFouled,yellowCards,goals_per90,assists_per90,expectedGoals_per90,expectedAssists_per90,keyPasses_per90,successfulDribbles_per90,tacklesWon_per90,interceptions_per90,ballRecovery_per90,aerialDuelsWon_per90,dribbledPast_per90,saves_per90,goalsPrevented_per90,finishing,creative_efficiency,defensive_efficiency,impact_score,cluster,pca1,pca2,xg_difference,offensive_overperformance,defensive_overperformance,midfield_overperformance,goalkeeper_overperformance,true_overperformance,rating_norm,goals_per90_norm,assists_per90_norm,keyPasses_per90_norm,expectedGoals_per90_norm,expectedAssists_per90_norm,true_overperformance_norm
Harry Maguire,Manchester United,D,1,50.0,47,28,37.33333333,196,359,555,86.44859813,47,78.33333333,13,18,1,45,1,1,2,3,71,2,2,30,1,0,0.21427547,0.8107,13,0,10.0,1,2,14,13,1,1,0,0.0,26,60.46511628,1,0,1,87,9,2,0,14,1217,0,0,0,0,2,0.0,0,0,0,0,93,2,0,6.8,1,0,0,0,0,0,0,1217.0,0.0,0,10,0,6,2,0,0.0,12,9,75.0,2,1,2,73,70.87378641,75,257,385,642,10,0,789,14,3,0.07395234182415776,0.07395234182415776,0.059953163516844696,0.015846172801972064,0.14790468364831552,0.0,0.6655710764174199,0.6655710764174199,3.3278553820870993,3.475760065735415,0.14790468364831552,0.0,0.0,0.18930000000000002,0.78572453,87,0.19608571902465816,1,-1.1560028067001307,-0.7354775914199821,0.18930000000000002,0.739307171,1.1055875102711585,13.854981747499176,0.75,4.237994018687489,0.44954128440366947,0.09031149622768357,0.12515406737880033,0.039652773822986244,0.07666730097428437,0.033736201013538955,0.6311012937334679
Ayden Heaven,Manchester United,D,0,0.0,26,12,60.0,88,245,333,90.73569482,17,62.96296296,10,14,1,33,1,1,1,1,52,1,4,21,0,0,0.16843562,0.3454,5,0,0.0,0,1,12,10,2,0,0,0.0,24,68.57142857,0,0,0,34,1,2,0,8,668,0,1,0,0,0,0.0,0,0,0,0,39,1,0,6.8,0,0,0,0,0,0,0,0.0,0.0,0,3,0,2,0,3,75.0,16,9,56.25,2,4,1,41,66.12903226,20,111,256,367,3,0,471,5,2,0.0,0.1347305389221557,0.04653592814371257,0.022693421856287428,0.2694610778443114,0.40419161676646703,1.2125748502994012,0.1347305389221557,4.446107784431137,2.2904191616766467,0.5389221556886228,0.0,0.0,-0.3454,0.83156438,58,0.1972521305697068,0,-0.49904645188006175,-0.2748860838754961,-0.3454,0.23669506599999995,0.842065868263473,14.821865901817365,0.25,4.246210256312425,0.44954128440366947,0.0,0.22801272455089822,0.07224165530325488,0.05950952042938088,0.0488796823420216,0.6319149975119279
Kobbie Mainoo,Manchester United,M,4,33.33333333,178,15,60.0,398,233,631,89.88603989,13,38.23529412,21,22,2,63,0,0,3,3,19,23,7,72,0,1,0.84820915,0.2363,8,0,0.0,0,2,17,14,3,0,0,0.0,53,50.96153846,0,0,0,71,7,17,0,10,1130,1,0,0,0,0,0.0,0,0,0,0,140,8,0,6.766666667,0,0,0,0,0,0,0,0.0,0.0,0,0,8,3,2,11,44.0,26,11,42.30769231,17,25,12,66,47.82608696,25,449,253,702,8,0,917,16,0,0.0,0.1592920353982301,0.018820353982300884,0.06755648097345132,1.3539823008849556,0.8761061946902655,0.8761061946902655,0.5575221238938053,5.017699115044247,1.0353982300884956,0.5575221238938053,0.0,0.0,-0.2363,1.15179085,30,0.23829533695312358,0,0.7209656630962081,0.36668192355943136,-0.2363,0.5699535949999999,0.5973451327433628,15.22811368781416,0.75,6.438695939674336,0.4250764528440367,0.0,0.2695796460176991,0.36299833523175323,0.0240672161160975,0.14809951394011642,0.8490501348108621
Benjamin eko,Manchester United,F,0,0.0,51,4,80.0,111,67,178,69.26070039,54,50.46728972,53,26,1,30,0,11,8,1,14,24,2,109,0,0,0.22880222,7.1679,15,0,16.98113208,9,10,26,23,3,9,0,0.0,15,21.12676056,1,0,3,79,3,8,1,13,1332,5,0,0,0,0,0.0,0,0,0,0,158,4,0,6.723076923,0,7,0,0,0,0,0,148.0,0.0,0,48,5,17,28,6,25.0,5,3,60.0,8,24,2,69,38.76404494,5,176,81,257,53,1,470,4,2,0.6081081081081081,0.06756756756756757,0.4843175675675676,0.015459609459459461,0.5405405405405406,0.40540540540540543,0.20270270270270271,0.20270270270270271,2.0270270270270268,3.6486486486486487,0.13513513513513514,0.0,0.0,1.8320999999999996,0.77119778,18,0.41012364673935975,2,1.1112566665922845,-2.8521921700105075,1.8320999999999996,2.3719384459999997,0.8412162162162163,11.08891590681081,0.25,3.5264128421432432,0.3930839801834862,0.7426289926289926,0.11434872372372373,0.14491719442214493,0.6193388061899926,0.032881271579370625,0.560629099711498
Manuel Ugarte,Manchester United,M,0,0.0,90,12,50.0,205,173,378,84.75336323,10,45.45454545,12,21,0,50,0,1,3,1,17,11,16,63,0,1,0.18333629,0.4906,22,0,0.0,0,0,21,20,1,0,0,0.0,62,54.86725664,0,0,0,68,18,3,0,7,810,0,0,0,0,0,0.0,0,0,0,0,93,1,0,6.661904762,0,0,0,0,0,0,0,0.0,0.0,0,4,7,7,1,7,77.77777778,43,26,60.46511628,3,9,0,72,53.33333333,24,253,193,446,11,0,617,12,1,0.0,0.0,0.05451111111111111,0.02037069888888889,0.33333333333333337,0.7777777777777777,2.8888888888888893,2.0,5.555555555555555,1.1111111111111112,1.7777777777777777,0.0,0.0,-0.4906,-0.18333629,45,0.12483174260802021,1,-1.7975645389426305,3.7727290567237333,-0.4906,-0.618935403,1.5666666666666669,14.223652714777778,0.25,5.755220258044445,0.3481869812844032,0.0,0.0,0.08936560322698937,0.06970807738650857,0.04374271250069975,0.7813613981876767
Luke Shaw,Manchester United,D,6,13.33333333,266,48,47.52475248,613,667,1280,86.8385346,52,52.0,48,31,1,88,1,0,3,3,70,5,14,114,0,1,1.49265982,0.5033,38,0,0.0,0,1,39,37,2,0,0,0.0,77,53.84615385,0,0,0,194,33,15,0,31,2626,0,0,0,0,0,0.0,0,0,0,0,295,4,0,6.622580645,0,0,0,0,0,0,0,0.0,0.0,0,3,2,0,2,6,40.0,60,35,58.33333333,15,15,45,129,53.08641975,101,727,747,1474,5,0,1945,11,5,0.0,0.03427265803503427,0.01724942878903275,0.051157419573495816,0.5140898705255141,0.20563594821020564,1.1995430312261997,1.130997715156131,3.0159939070830157,1.7821782178217822,0.4798172124904798,0.0,0.0,-0.5033,-0.4926598200000001,124,0.13027762787013858,1,-1.2441528820235257,0.6713188473898605,-0.5033,-0.848161874,1.0436024371667938,13.972499476348059,0.75,3.9920620502870907,0.3193252440366967,0.0,0.058001713632901755,0.1378258541771923,0.022058338059703777,0.11183109750821299,0.6067451612715516
Leny Yoro,Manchester United,D,1,33.33333333,127,35,49.29577465,322,488,810,88.52459016,38,54.28571429,32,28,0,65,0,2,1,1,74,5,7,61,0,2,0.44335457,1.1364,16,0,0.0,0,0,30,27,3,0,0,0.0,35,54.6875,0,0,0,105,25,3,0,17,1624,2,0,0,0,1,0.0,0,0,0,0,131,2,0,6.618518519,0,0,0,0,0,0,0,0.0,0.0,0,7,0,4,2,1,50.0,31,20,64.51612903,3,2,3,73,54.47761194,71,383,532,915,7,0,1135,3,1,0.0,0.0,0.06297783251231527,0.024570142426108374,0.16625615763546797,0.05541871921182266,1.1083743842364533,1.3854679802955665,3.602216748768473,2.105911330049261,0.3879310344827586,0.0,0.0,-1.1364,-0.44335457,112,0.10964259267423886,1,-2.003087486535407,0.6796411483584548,-1.1364,-1.446748199,1.1665640394088672,14.243574901971058,0.25,4.043819919288085,0.31634386715596285,0.0,0.0,0.04457274545188509,0.0805352070966723,0.05303026642074026,0.6118710565406137
Altay Bay?nd?r,Manchester United,G,0,0.0,13,31,31.0,25,82,107,60.4519774,1,100.0,0,6,0,39,1,0,0,0,7,0,1,1,1,0,0.04160964,0.0,0,0,0.0,0,0,11,10,1,0,0,-0.8378,4,80.0,0,4,0,70,0,1,0,6,540,0,0,0,0,0,0.0,0,0,0,0,72,0,1,6.6,0,0,11,2,13,0,2,0.0,0.0,0,0,0,0,0,1,100.0,0,0,0.0,1,1,0,5,83.33333333,100,86,91,177,0,0,225,3,0,0.0,0.0,0.0,0.0069349400000000005,0.16666666666666669,0.16666666666666669,0.0,0.0,6.499999999999999,0.16666666666666669,0.16666666666666669,2.1666666666666665,-0.13963333333333333,0.0,-0.04160964,6,0.09752810831541862,0,-1.5377913562640093,-2.101239551540587,0.0,-0.029126748,0.008333333333333338,10.752863678333332,0.817795,0.817795,0.3027522935779814,0.0,0.0,0.04468280161349469,0.0,0.014027981481874941,0.2923782684712773
Joshua Zirkzee,Manchester United,F,2,40.0,40,2,40.0,91,65,156,75.36231884,17,40.47619048,25,18,1,16,2,4,5,0,8,10,1,47,0,0,0.32748187,2.3854,8,0,9.523809524,2,3,8,7,1,1,1,0.0,17,43.58974359,0,0,0,51,1,10,2,4,550,1,0,0,0,0,0.0,0,0,0,0,99,2,0,6.533333333,0,0,0,0,0,0,0,275.0,0.0,0,18,3,9,7,5,62.5,8,5,62.5,10,8,5,34,41.97530864,5,128,79,207,21,0,331,4,1,0.32727272727272727,0.16363636363636364,0.39033818181818186,0.053587942363636364,1.6363636363636362,0.8181818181818181,0.8181818181818181,0.16363636363636364,2.618181818181818,2.7818181818181817,0.16363636363636364,0.0,0.0,-0.3854000000000002,0.67251813,13,0.34717201136712234,2,2.1474047081346255,-0.8993791105053155,-0.3854000000000002,0.08536269099999982,0.8672727272727273,12.545017538863636,0.0,2.032501921806818,0.25382262972477054,0.3996694214876033,0.27693181818181817,0.4387038703870387,0.49915922883370945,0.11720647909561825,0.41267805252279816
Youri Tielemans,Aston Villa,M,9,30.0,220,42,63.63636364,442,255,697,84.58737864,14,48.27586207,15,18,4,71,4,2,6,2,13,11,16,67,0,1,2.6121743,0.9934,22,0,0.0,0,4,17,15,2,0,0,0.0,75,59.05511811,0,0,0,127,11,27,0,15,1322,1,0,0,0,0,0.0,0,0,0,0,187,7,0,7.15,0,0,0,0,0,0,0,0.0,0.0,0,7,10,7,4,9,69.23076923,40,24,60.0,27,13,30,89,57.05128205,66,540,284,824,17,1,1072,27,0,0.0,0.2723146747352496,0.06762934947049924,0.1778333487140696,1.8381240544629347,0.6127080181543116,1.6338880484114977,0.7488653555219364,4.833585476550681,0.9531013615733737,1.0892586989409985,0.0,0.0,-0.9934,1.3878257,32,0.38666518828211,0,1.4450263921711752,1.8099396312523968,-0.9934,-0.021922009999999936,0.8237518910741299,14.584304921378214,0.5,5.9897035427661125,0.7064220183486238,0.0,0.4608547655068079,0.49279519479935885,0.08648350456257468,0.3919895308427627,0.80458369815922
